video,species,maxn,minutes,file,time_in_file,viewer
20180723_EE1A,Paguroidea,1,0,GOPR0016,00:12:30,Guillermo Porriños
20180723_EE1A,Bothus sp.,1,26.2,GOP20016,00:03:20,Guillermo Porriños
20180723_EE1A,Paguroidea,2,45.75,GOP30016,00:05:12,Guillermo Porriños
20180723_EE1B,Serranus pulcher,1,0,GOPR5817,00:06:03,Guillermo Porriños
20180723_EE1B,Carangoides bartholomaei,1,1.183333333,GOPR5817,00:07:14,Guillermo Porriños
20180723_EE1B,NA1,20,7.65,GOP15817,00:04:50,Guillermo Porriños
20180723_EE1D,Acanthostracion notacanthus,1,21.45,GP010020,00:10:08,Guillermo Porriños
20180723_EE1D,Dactylopterus volitans,1,70.61666667,GP040020,00:06:15,Guillermo Porriños
20180723_EE1D,NA1,2,74.2,GP040020,00:09:50,Guillermo Porriños
20180723_EE1D,Sphoeroides marmoratus,1,81.71666667,GP040020,00:17:21,Guillermo Porriños
20180726_SO2B,Paranthias furcifer,10,0,GP025820,00:00:55,Guillermo Porriños
20180726_SO2B,Holacanthus africanus,3,0.116666667,GP025820,00:01:02,Guillermo Porriños
20180726_SO2B,Prionurus biafraensis,130,0.483333333,GP025820,00:01:24,Guillermo Porriños
20180726_SO2B,Enchelycore nigricans,1,0.516666667,GP025820,00:01:26,Guillermo Porriños
20180726_SO2B,Caranx crysos,1,1.516666667,GP025820,00:02:26,Guillermo Porriños
20180726_SO2B,Sparisoma rubripinne,1,1.883333333,GP025820,00:02:48,Guillermo Porriños
20180726_SO2B,Holacanthus africanus,4,2.483333333,GP025820,00:03:24,Guillermo Porriños
20180726_SO2B,Sparisoma rubripinne,2,3.366666667,GP025820,00:04:17,Guillermo Porriños
20180726_SO2B,Bodianus speciosus,1,3.583333333,GP025820,00:04:30,Guillermo Porriños
20180726_SO2B,Sparisoma choati,1,5.183333333,GP025820,00:06:06,Guillermo Porriños
20180726_SO2B,Paranthias furcifer,30,6.533333333,GP025820,00:07:27,Guillermo Porriños
20180726_SO2B,Cephalopholis nigri,1,7.416666667,GP025820,00:08:20,Guillermo Porriños
20180726_SO2B,Sparisoma choati,2,7.933333333,GP035820,00:00:00,Guillermo Porriños
20180726_SO2B,Bodianus pulchellus,1,8.383333333,GP035820,00:00:27,Guillermo Porriños
20180726_SO2B,Abudefduf saxatilis,3,8.416666667,GP035820,00:00:29,Guillermo Porriños
20180726_SO2B,Carangoides bartholomaei,1,10.03333333,GP035820,00:02:06,Guillermo Porriños
20180726_SO2B,Paranthias furcifer,50,12.28333333,GP035820,00:04:21,Guillermo Porriños
20180726_SO2B,Paranthias furcifer,65,13.06666667,GP035820,00:05:08,Guillermo Porriños
20180726_SO2B,Kyphosus incisor,12,13.63333333,GP035820,00:05:42,Guillermo Porriños
20180726_SO2B,Cantherhines pullus,2,15.66666667,GP035820,00:07:44,Guillermo Porriños
20180726_SO2B,Cephalopholis taeniops,1,16.93333333,GP045820,00:00:09,Guillermo Porriños
20180726_SO2B,Epinephelus adscensionis,1,19.78333333,GP045820,00:03:00,Guillermo Porriños
20180726_SO2B,Lethrinus atlanticus,1,32.25,GP055820,00:06:37,Guillermo Porriños
20180726_SO2B,Fistularia tabacaria,1,35.81666667,GP065820,00:01:20,Guillermo Porriños
20180726_SO2B,Cephalopholis taeniops,2,43.91666667,GP075820,00:00:35,Guillermo Porriños
20180726_SO2B,Thalassoma newtoni,1,46.03333333,GP075820,00:02:42,Guillermo Porriños
20180726_SO2B,Cephalopholis nigri,2,47.33333333,GP075820,00:04:00,Guillermo Porriños
20180726_SO2B,Lutjanus agennes,1,62.08333333,GP095820,00:01:03,Guillermo Porriños
20180726_SO2B,Bodianus speciosus,2,67.78333333,GP095820,00:06:45,Guillermo Porriños
20180725_NE2B,Sphoeroides marmoratus,1,3.416666667,GP015819,00:02:45,Guillermo Porriños
20180725_NE2B,Xyrichtys novacula,1,14.16666667,GP025819,00:04:38,Guillermo Porriños
20180725_NE2B,Xyrichtys novacula,2,31.06666667,GP045819,00:03:48,Guillermo Porriños
20180725_NE2B,Caranx crysos,1,54.51666667,GP075819,00:00:39,Guillermo Porriños
20180725_NE2B,Lutjanus endecacanthus,1,57.25,GP075819,00:03:23,Guillermo Porriños
20180725_NE2B,Elagatis bipinnulata,1,62.98333333,GP085819,00:00:15,Guillermo Porriños
20180726_SO2E,Caranx crysos,1,8.75,GP010038,00:07:46,Guillermo Porriños
20180726_SO2E,Crustacean,1,15.93333333,GP020038,00:06:05,Guillermo Porriños
20180726_SO2E,Sphyraena barracuda,1,19.7,GP030038,00:00:59,Guillermo Porriños
20180726_SO2E,Sphyraena barracuda,2,31.28333333,GP040038,00:03:42,Guillermo Porriños
20180728_NO1A,Dactylopterus volitans,1,5.8,GOPR0021,00:11:52,Guillermo Porriños
20180728_NO1A,Bothus sp.,1,6.683333333,GOPR0021,00:12:45,Guillermo Porriños
20180728_NO1A,Bothus sp.,2,13.51666667,G0P10021,00:04:54,Guillermo Porriños
20180728_NO1A,Balistes capriscus,1,20.33333333,G0P10021,00:11:43,Guillermo Porriños
20180728_NO1A,Caranx crysos,1,30.16666667,G0P20021,00:03:52,Guillermo Porriños
20180728_NO1A,Lagocephalus laevigatus,1,31.63333333,G0P20021,00:05:20,Guillermo Porriños
20180728_NO1A,Acanthostracion guineensis,1,43.06666667,G0P20021,00:16:46,Guillermo Porriños
20180728_NO1A,Caranx crysos,2,56.45,G0P30021,00:12:28,Guillermo Porriños
20180728_NO1A,Xyrichtys novacula,1,65.86666667,G0P40021,00:04:12,Guillermo Porriños
20180728_NO1A,Dactylopterus volitans,2,79.35,G0P50021,00:00:00,Guillermo Porriños
20180728_NO1A,Dactylopterus volitans,5,85.76666667,G0P50021,00:06:25,Guillermo Porriños
20180802_SE1B,Caranx hippos,1,8.466666667,GP015824,00:05:51,Guillermo Porriños
20180802_SE1B,Dactylopterus volitans,1,10.05,GP015824,00:07:26,Guillermo Porriños
20180802_SE1B,Caranx crysos,1,10.7,GP015824,00:08:05,Guillermo Porriños
20180802_SE1B,Myrichthys pardalis,1,30.7,GP045824,00:01:29,Guillermo Porriños
20180802_SE1B,Caranx crysos,2,42.05,GP055824,00:03:58,Guillermo Porriños
20180802_SE1B,Carangoides bartholomaei,1,56.43333333,GP075824,00:00:37,Guillermo Porriños
20180802_SE1B,Lethrinus atlanticus,1,75.5,GP095824,00:01:57,Guillermo Porriños
20180804_SE2A,Xyrichtys novacula,2,0.416666667,GOPR0023,00:06:55,Guillermo Porriños
20180804_SE2A,Sphyraena barracuda,1,7.55,GOPR0023,00:14:03,Guillermo Porriños
20180804_SE2A,NA1,2,13.46666667,GP010023,00:02:17,Guillermo Porriños
20180804_SE2A,Xyrichtys novacula,3,14.68333333,GP010023,00:03:30,Guillermo Porriños
20180804_SE2A,Bothus sp.,1,14.68333333,GP010023,00:03:30,Guillermo Porriños
20180804_SE2A,Xyrichtys novacula,4,24.18333333,GP010023,00:13:00,Guillermo Porriños
20180804_SE1E,Paguroidea,1,14.06666667,GP020076,00:02:35,Guillermo Porriños
20180804_SE1E,Paguroidea,2,20.33333333,GP030076,00:00:00,Guillermo Porriños
20180804_SE1E,Caranx lugubris,1,21.85,GP030076,00:01:31,Guillermo Porriños
20180804_SE1E,Xyrichtys novacula,1,26.46666667,GP030076,00:06:08,Guillermo Porriños
20180804_SE1E,Trachinotus ovatus,1,27.15,GP030076,00:06:49,Guillermo Porriños
20180804_SE1E,NA1,1,31.48333333,GP040076,00:02:18,Guillermo Porriños
20180804_SE1E,Caranx crysos,1,37.38333333,GP040076,00:08:12,Guillermo Porriños
20180804_SE1E,Xyrichtys novacula,2,56.03333333,GP070076,00:00:18,Guillermo Porriños
20180804_SE1E,Lutjanus sp.,1,56.48333333,GP070076,00:00:45,Guillermo Porriños
20180804_SE1E,Xyrichtys novacula,3,56.73333333,GP070076,00:01:00,Guillermo Porriños
20180804_SE1E,Bothus sp.,1,71.2,GP080076,00:06:37,Guillermo Porriños
20180802_SE1D,Paguroidea,2,6.1,GOPR0024,00:16:37,Guillermo Porriños
20180802_SE1D,Balistes capriscus,1,10.1,GP010024,00:02:55,Guillermo Porriños
20180802_SE1D,Balistes capriscus,2,24.8,GP010024,00:17:37,Guillermo Porriños
20180802_SE1D,Balistes capriscus,3,37.4,GP020024,00:12:31,Guillermo Porriños
20180802_SE1D,Caranx crysos,1,38.88333333,GP020024,00:14:00,Guillermo Porriños
20180802_SE1D,Balistes capriscus,4,39.01666667,GP020024,00:14:08,Guillermo Porriños
20180802_SE1D,Balistes capriscus,5,40.75,GP020024,00:15:52,Guillermo Porriños
20180802_SE1D,Epinephelus aeneus,1,42.58333333,GP030024,00:00:00,Guillermo Porriños
20180802_SE1D,Balistes capriscus,6,46.16666667,GP030024,00:03:35,Guillermo Porriños
20180806_EE2B,Xyrichtys novacula,1,5.583333333,GP015827,00:02:52,Guillermo Porriños
20180806_EE2B,Stephanolepis hispidus,1,8.816666667,GP015827,00:06:06,Guillermo Porriños
20180806_EE2B,Xyrichtys novacula,2,11.03333333,GP015827,00:08:19,Guillermo Porriños
20180806_EE2B,Dactylopterus volitans,1,32.8,GP045827,00:03:32,Guillermo Porriños
20180806_EE2B,Paguroidea,1,46.78333333,GP055827,00:08:40,Guillermo Porriños
20180806_EE2B,Caranx crysos,1,50.48333333,GP065827,00:03:31,Guillermo Porriños
20180806_EE2B,Bothus sp.,1,57.26666667,GP075827,00:01:27,Guillermo Porriños
20180806_EE2B,Dactylopterus volitans,2,80.55,GP095827,00:07:02,Guillermo Porriños
20180809_NO2E,Crustacean,2,1.533333333,GOPR0078,00:08:02,Guillermo Porriños
20180809_NO2E,Paguroidea,1,2.35,GP010078,00:00:00,Guillermo Porriños
20180809_NO2E,Paguroidea,2,5.35,GP010078,00:03:00,Guillermo Porriños
20180809_NO2E,Paguroidea,3,46.6,GP060078,00:00:00,Guillermo Porriños
20180809_NO2E,Paguroidea,4,52.98333333,GP060078,00:06:23,Guillermo Porriños
20180809_NO2E,Caranx crysos,6,56.98333333,GP070078,00:01:32,Guillermo Porriños
20180809_NO2E,Carangoides bartholomaei,25,56.98333333,GP070078,00:01:32,Guillermo Porriños
20180809_NO2E,Bothus sp.,1,76.8,GP090078,00:03:39,Guillermo Porriños
20180809_NO2E,Bothus sp.,3,80.56666667,GP090078,00:07:25,Guillermo Porriños
