video,date,area,number,island,waypoint,time,depth,camera,collection,div_case,battery,sd_card,valid,sampling_round,periodo,habitat,site,lat,lon,viewer,max_time,valid,failure,sampling_type,sampling_time,date
20180716_OO1A,16/07/2018,OO,1A,PC,OO1A,11:30:00,9.6,D,NA,NA,NA,4,nao,PC2018a,1,NA,20180716_OO1A,1.614847826,7.363862609,NA,NA,not_valid,harddrive_failure,not_valid,not_valid,20180716
20180716_OO1B,16/07/2018,OO,1B,PC,OO1B,12:04:00,19.8,E,NA,NA,NA,7,nao,PC2018a,1,NA,20180716_OO1B,1.61172674,7.359316014,NA,NA,not_valid,harddrive_failure,not_valid,not_valid,20180716
20180716_OO1C,16/07/2018,OO,1C,PC,OO1C,12:30:00,4,B,NA,NA,NA,1,nao,PC2018a,1,NA,20180716_OO1C,1.605409048,7.349886373,NA,NA,not_valid,harddrive_failure,not_valid,not_valid,20180716
20180716_OO1D,16/07/2018,OO,1D,PC,OO1D2,12:53:00,11,C,NA,NA,NA,2,nao,PC2018a,1,NA,20180716_OO1D,1.607377,7.338982,NA,NA,not_valid,harddrive_failure,not_valid,not_valid,20180716
20180716_OO1E,16/07/2018,OO,1E,PC,OO1E2,13:19:00,17,A,NA,NA,NA,8,nao,PC2018a,1,NA,20180716_OO1E,1.609222222,7.331805556,NA,NA,not_valid,harddrive_failure,not_valid,not_valid,20180716
20180720_NE1A,20/07/2018,NE,1A,PC,NE1A,08:57:00,22.6,A,NA,NA,NA,2,nao,PC2018a,1,NA,20180720_NE1A,1.667883,7.46305,NA,NA,not_valid,harddrive_failure,not_valid,not_valid,20180720
20180720_NE1B,20/07/2018,NE,1B,PC,NE1B,09:36:00,13.7,B,NA,NA,NA,7,nao,PC2018a,1,NA,20180720_NE1B,1.686228616,7.462415267,NA,NA,not_valid,harddrive_failure,not_valid,not_valid,20180720
20180720_NE1C,20/07/2018,NE,1C,PC,NE1C,10:00:00,17,C,NA,NA,NA,8,nao,PC2018a,1,NA,20180720_NE1C,1.691796882,7.460632101,NA,NA,not_valid,harddrive_failure,not_valid,not_valid,20180720
20180720_NE1E,20/07/2018,NE,1E,PC,NE1E,10:32:00,19.2,E,NA,NA,NA,1,nao,PC2018a,1,NA,20180720_NE1E,1.703183781,7.449218463,NA,NA,not_valid,harddrive_failure,not_valid,not_valid,20180720
20180720_NE2E,20/07/2018,NE,2E,PC,NE2E,11:03:00,23.6,D,NA,NA,NA,4,nao,PC2018a,1,NA,20180720_NE2E,1.71410339,7.455260474,NA,NA,not_valid,harddrive_failure,not_valid,not_valid,20180720
20180723_EE1A,23/07/2018,EE,1A,PC,EE1A,10:00:00,11.9,A,NA,NA,NA,2,sim,PC2018a,1,Sand,20180723_EE1A,1.660226779,7.448609686,Guillermo,77.91666667,valid,NA,random,regular_sampling,20180723
20180723_EE1B,23/07/2018,EE,1B,PC,EE1B,10:38:00,14.2,B,NA,NA,NA,7,sim,PC2018a,1,Sand,20180723_EE1B,1.664985437,7.453143038,Guillermo,72.26666667,valid,NA,random,regular_sampling,20180723
20180723_EE1C,23/07/2018,EE,1C,PC,EE1C,10:56:00,19.8,C,NA,NA,NA,8,sim,PC2018a,1,Sand,20180723_EE1C,1.667152746,7.459530467,Liliana,80.63333333,valid,NA,random,regular_sampling,20180723
20180723_EE1D,23/07/2018,EE,1D,PC,EE1D,11:14:00,25.5,D,NA,NA,NA,4,sim,PC2018a,1,Sand,20180723_EE1D,1.659214832,7.457129639,Guillermo,86.05,valid,NA,random,regular_sampling,20180723
20180723_EE1E,23/07/2018,EE,1E,PC,EE1E,11:28:00,24.9,E,NA,NA,NA,6,nao,PC2018a,1,NA,20180723_EE1E,1.609209487,7.331809374,NA,NA,not_valid,harddrive_failure,not_valid,not_valid,20180723
20180725_NE1D,25/07/2018,NE,1D,PC,NE1D,08:56:00,4.6,D,NA,NA,NA,4,sim,PC2018a,1,Rock,20180725_NE1D,1.690403055,7.443871982,Liliana,87.95,valid,NA,random,regular_sampling,20180725
20180725_NE2B,25/07/2018,NE,2B,PC,NE2B,09:45:00,21.2,B,NA,NA,NA,7,sim,PC2018a,1,Sand,20180725_NE2B,1.705253776,7.425603624,Guillermo,69.16666667,valid,NA,random,regular_sampling,20180725
20180725_NE2D,25/07/2018,NE,2D,PC,NE2D,09:22:00,22,E,NA,NA,NA,6,nao,PC2018a,1,NA,20180725_NE2D,1.716177072,7.438957421,NA,NA,not_valid,harddrive_failure,not_valid,not_valid,20180725
20180726_SO2A,26/07/2018,SO,2A,PC,SO2A,09:00:00,17,A,NA,NA,NA,2,sim,PC2018a,1,Sand,20180726_SO2A,1.535039535,7.395319222,Liliana,98.76666667,valid,NA,random,regular_sampling,20180726
20180726_SO2B,26/07/2018,SO,2B,PC,SO2B,09:27:00,7.3,B,NA,NA,NA,7,sim,PC2018a,1,Rock,20180726_SO2B,1.532940287,7.38322095,Guillermo,86.55,valid,NA,random,regular_sampling,20180726
20180726_SO2C,26/07/2018,SO,2C,PC,SO2C,10:00:00,23,C,NA,NA,NA,8,sim,PC2018a,1,Maerl,20180726_SO2C,1.532966439,7.37825417,Liliana,92.3,valid,NA,random,regular_sampling,20180726
20180726_SO2D,26/07/2018,SO,2D,PC,SO2D,10:30:00,6,D,NA,NA,NA,4,sim,PC2018a,1,Rock,20180726_SO2D,1.545100752,7.37990004,Liliana,80.96666667,valid,NA,random,regular_sampling,20180726
20180726_SO2E,26/07/2018,SO,2E,PC,SO2E,10:53:00,21.8,E,NA,NA,NA,10,sim,PC2018a,1,Sand,20180726_SO2E,1.546922056,7.363574523,Guillermo,68.88333333,valid,NA,random,regular_sampling,20180726
20180728_NE2A,28/07/2018,NE,2A,PC,NE2A,10:22:00,16.5,C,NA,NA,NA,8,sim,PC2018a,1,Sand,20180728_NE2A,1.69698461,7.420123955,Liliana,91.51666667,valid,NA,random,regular_sampling,20180728
