"","dbRDA1","dbRDA2","dbRDA3","dbRDA4","dbRDA5","dbRDA6"
"habitatRock",0.938134144590856,-0.0473229903707061,0.272240542826666,-0.153524792632418,0.0327457422156643,-0.0998073741375965
"habitatSand",-0.598484762434036,-0.798410395672277,0.0348522026540258,-0.00606448177333992,0.0110100619024347,0.0182148503515025
"islandST",0.312866736013338,-0.246247868959176,-0.843700137710161,0.102232416128364,-0.33866159948914,0.0643737155506935
"islandTI",0.197703298448296,0.00912520105982347,0.143946690714824,-0.184492136329223,0.156324901482077,0.694450343903961
"slope",0.403100085608891,0.098074958443031,0.118271289468139,0.0876308160654476,-0.177427917366303,0.398832513056679
"disttoshore",-0.416343323308096,0.306109779051222,-0.209241851298823,-0.478158351341462,0.327994654496165,-0.487737265286177
"depth",-0.467409041321988,0.181889429014788,-0.291501475915235,-0.71277850294579,-0.260993510601739,0.221032764221516
"Season",-0.304410926289256,0.0646144458281181,0.345494215005898,0.0903224748707778,-0.700491607167203,-0.284265883586497
"habitatMaerl",-0.250909598719394,1.10597523121975,-0.347961013164879,0.178294541496491,-0.0508497128745184,0.0866741600952681
"habitatRock",1.34270467050411,-0.0677310388491191,0.389644328011705,-0.219732388266953,0.0468673496915221,-0.142849322965159
"habitatSand",-0.488465889229667,-0.651639387285577,0.0284453560551388,-0.00494965397295019,0.00898609290531338,0.0148664320841629
"islandPC",-0.212805322737423,0.143097806941472,0.473598185096424,-0.0326484944539913,0.175509222696864,-0.140601526254769
"islandST",0.331120098809322,-0.260614534291275,-0.8929235383851,0.108196889708647,-0.35841989376904,0.0681294257276365
"islandTI",1.25893318942037,0.0581073687920794,0.916622372365297,-1.17480727653448,0.995444225530329,4.42211431577974
