"","Maerl","Rock","Sand","Sand_Maerl","Rock_Maerl","Sand_Rock"
"Ablennes hians","0 (0)","0.01 (0.1)","0 (0)","0, p=0.76","0, p=0.52","0, p=0.7"
"Abudefduf hoefleri","0.05 (0.55)","0.08 (0.4)","0.02 (0.18)","0, p=1","0.003, p<0.01","0.004, p<0.01"
"Abudefduf saxatilis","0.09 (1)","0.4 (1.17)","0.47 (3.59)","0, p=1","0.01, p<0.01","0.011, p<0.01"
"Abudefduf taurus","0.01 (0.09)","0 (0)","0.01 (0.07)","0, p=0.95","0.001, p=0.03","0.001, p<0.01"
"Acanthocybium solandri","0.01 (0.09)","0 (0)","0 (0)","0, p=0.76","0, p=0.53","0, p=0.7"
"Acanthostracion guineensis","0.02 (0.18)","0 (0)","0.01 (0.1)","0.001, p=0.33","0, p=0.89","0, p=0.89"
"Acanthostracion notacanthus","0.08 (0.38)","0.13 (0.42)","0.11 (0.45)","0.015, p=0.02","0.004, p=1","0.005, p=1"
"Acanthurus monroviae","0.92 (3.25)","1.81 (3.95)","0.68 (3.5)","0.018, p=1","0.028, p<0.01","0.034, p<0.01"
"Alectis alexandrina","0.01 (0.09)","0.02 (0.15)","0.01 (0.1)","0.003, p=0.18","0.001, p=0.96","0.001, p=0.98"
"Alectis ciliaris","0.01 (0.09)","0.01 (0.1)","0.04 (0.24)","0.002, p=0.53","0, p=0.99","0.001, p=0.95"
"Aluterus heudelotii","0.03 (0.2)","0.02 (0.15)","0.04 (0.28)","0.004, p=0.05","0.001, p=0.97","0.001, p=1"
"Aluterus scriptus","0.12 (0.45)","0.08 (0.37)","0.07 (0.34)","0.009, p<0.01","0.005, p=0.94","0.004, p=1"
"Apsilus fuscus","0.02 (0.13)","0.02 (0.21)","0.04 (0.45)","0.001, p=0.5","0.001, p=0.08","0.001, p=0.32"
"Ariosoma balearicum","0 (0)","0.06 (0.62)","0.04 (0.51)","0.002, p=0.59","0, p=0.89","0.001, p=0.86"
"Atherina lopeziana","0 (0)","0 (0)","0.01 (0.14)","0.001, p=0.77","0, p=0.52","0, p=0.71"
"Aulostomus strigosus","0.07 (0.4)","0.18 (0.64)","0.1 (0.48)","0.003, p=1","0.008, p<0.01","0.008, p<0.01"
"Auxis rochei","0 (0)","0.01 (0.1)","0 (0)","0, p=0.72","0, p=0.53","0, p=0.71"
"Auxis thazard","0.07 (0.5)","0 (0)","0 (0)","0.001, p=0.4","0.001, p=0.27","0.001, p=0.39"
"Balistes capriscus","0.15 (0.88)","0.03 (0.18)","0.14 (0.56)","0.014, p=0.11","0.002, p=1","0.005, p=1"
"Balistes punctatus","0.43 (0.85)","0.63 (1.11)","0.34 (0.75)","0.03, p<0.01","0.018, p=1","0.022, p=0.9"
"Bodianus pulchellus","0.03 (0.2)","0.09 (0.46)","0.02 (0.12)","0, p=1","0.003, p<0.01","0.003, p<0.01"
"Bodianus speciosus","0.22 (0.6)","0.43 (0.86)","0.3 (0.78)","0.009, p=1","0.019, p<0.01","0.021, p<0.01"
"Boops boops","0 (0)","0.01 (0.1)","0.05 (0.72)","0.001, p=0.09","0, p=0.69","0, p=0.92"
"Bothus sp.","0.21 (0.5)","0.24 (0.54)","0.32 (0.64)","0.034, p<0.01","0.005, p=1","0.014, p=1"
"Cantherhines macrocerus","0.01 (0.09)","0 (0)","0 (0)","0, p=0.77","0, p=0.1","0, p<0.01"
"Cantherhines pardalis","0.01 (0.09)","0 (0)","0.03 (0.32)","0.001, p=0.43","0.001, p=0.24","0.001, p=0.33"
"Cantherhines pullus","1.26 (4.99)","1.46 (5.27)","1 (4.36)","0.032, p<0.01","0.026, p=0.69","0.034, p<0.01"
"Canthidermis sufflamen","0.05 (0.29)","0.08 (0.37)","0.01 (0.1)","0.004, p<0.01","0.003, p=0.29","0.002, p=0.7"
"Canthigaster supramacula","0.22 (0.72)","0.44 (0.79)","0.26 (0.82)","0.007, p=1","0.019, p<0.01","0.022, p<0.01"
"Caranx bartholomaei","1.82 (4.47)","1.63 (5.33)","1.08 (2.97)","0.047, p<0.01","0.024, p=1","0.03, p=1"
