"","family","type","species","occurr.PC","oc.perc.PC","MaxN.PC","MeanMaxNPC","MaxN.per.Oc.PC","occurr.ST","oc.perc.ST","MaxN.ST","MeanMaxNST","MaxN.per.Oc.ST","occurr.TI","oc.perc.TI","MaxN.TI","MeanMaxNTI","MaxN.per.Oc.TI"
"1","Carcharhinidae","Elasmobranch","Carcharhinus galapagensis",1,0.00384615384615385,2,0.00769230769230769,2,1,0.00694444444444444,1,0.00694444444444444,1,0,0,0,0,NA
"2","Carcharhinidae","Elasmobranch","Carcharhinus limbatus",2,0.00769230769230769,2,0.00769230769230769,1,0,0,0,0,NA,0,0,0,0,NA
"3","Carcharhinidae","Elasmobranch","Negaprion brevirostris",1,0.00384615384615385,4,0.0153846153846154,4,0,0,0,0,NA,0,0,0,0,NA
"4","Dasyatidae","Elasmobranch","Hypanus rudis",13,0.05,15,0.0576923076923077,1.15384615384615,4,0.0277777777777778,4,0.0277777777777778,1,0,0,0,0,NA
"5","Dasyatidae","Elasmobranch","Taeniurops grabatus",5,0.0192307692307692,6,0.0230769230769231,1.2,0,0,0,0,NA,0,0,0,0,NA
"6","Ginglymostomatidae","Elasmobranch","Ginglymostoma cirratum",3,0.0115384615384615,4,0.0153846153846154,1.33333333333333,0,0,0,0,NA,0,0,0,0,NA
"7","Mobulidae","Elasmobranch","Mobula sp.",1,0.00384615384615385,1,0.00384615384615385,1,1,0.00694444444444444,1,0.00694444444444444,1,0,0,0,0,NA
"8","Sphyrnidae","Elasmobranch","Sphyrna lewini",0,0,0,0,NA,5,0.0347222222222222,5,0.0347222222222222,1,0,0,0,0,NA
"9","Acanthuridae","Teleost","Acanthurus monroviae",58,0.223076923076923,257,0.988461538461539,4.43103448275862,45,0.3125,163,1.13194444444444,3.62222222222222,4,0.666666666666667,17,2.83333333333333,4.25
"10","Acanthuridae","Teleost","Prionurus biafraensis",19,0.0730769230769231,651,2.50384615384615,34.2631578947368,13,0.0902777777777778,59,0.409722222222222,4.53846153846154,1,0.166666666666667,1,0.166666666666667,1
"11","Apogonidae","Teleost","Phaeoptyx pigmentaria",1,0.00384615384615385,1,0.00384615384615385,1,0,0,0,0,NA,0,0,0,0,NA
"12","Atherinidae","Teleost","Atherina lopeziana",1,0.00384615384615385,2,0.00769230769230769,2,0,0,0,0,NA,0,0,0,0,NA
"13","Aulostomidae","Teleost","Aulostomus strigosus",4,0.0153846153846154,4,0.0153846153846154,1,23,0.159722222222222,38,0.263888888888889,1.65217391304348,3,0.5,8,1.33333333333333,2.66666666666667
"14","Balistidae","Teleost","Balistes capriscus",19,0.0730769230769231,37,0.142307692307692,1.94736842105263,10,0.0694444444444444,11,0.0763888888888889,1.1,0,0,0,0,NA
"15","Balistidae","Teleost","Balistes punctatus",67,0.257692307692308,114,0.438461538461538,1.70149253731343,46,0.319444444444444,65,0.451388888888889,1.41304347826087,3,0.5,3,0.5,1
"16","Balistidae","Teleost","Canthidermis sufflamen",5,0.0192307692307692,7,0.0269230769230769,1.4,1,0.00694444444444444,2,0.0138888888888889,2,4,0.666666666666667,6,1,1.5
"17","Balistidae","Teleost","Melichthys niger",0,0,0,0,NA,4,0.0277777777777778,9,0.0625,2.25,3,0.5,28,4.66666666666667,9.33333333333333
"18","Belonidae","Teleost","Ablennes hians",0,0,0,0,NA,1,0.00694444444444444,1,0.00694444444444444,1,0,0,0,0,NA
"19","Blenniidae","Teleost","Hypleurochilus aequipinnis",1,0.00384615384615385,3,0.0115384615384615,3,0,0,0,0,NA,0,0,0,0,NA
"20","Blenniidae","Teleost","Microlipophrys velifer",0,0,0,0,NA,1,0.00694444444444444,1,0.00694444444444444,1,0,0,0,0,NA
"21","Blenniidae","Teleost","Ophioblennius atlanticus",8,0.0307692307692308,8,0.0307692307692308,1,8,0.0555555555555556,17,0.118055555555556,2.125,2,0.333333333333333,3,0.5,1.5
"22","Bothidae","Teleost","Bothus guibei",1,0.00384615384615385,1,0.00384615384615385,1,0,0,0,0,NA,0,0,0,0,NA
"23","Bothidae","Teleost","Bothus lunatus",0,0,0,0,NA,2,0.0138888888888889,4,0.0277777777777778,2,0,0,0,0,NA
"24","Bothidae","Teleost","Bothus podas",1,0.00384615384615385,1,0.00384615384615385,1,0,0,0,0,NA,0,0,0,0,NA
"25","Carangidae","Teleost","Alectis alexandrina",1,0.00384615384615385,1,0.00384615384615385,1,4,0.0277777777777778,4,0.0277777777777778,1,0,0,0,0,NA
