"","type","family","sp.richness.PC","occurr.PC","oc.perc.PC","MaxN.PC","MaxN.av.PC","sp.richness.ST","occurr.ST","oc.perc.ST","MaxN.ST","MaxN.av.ST","sp.richness.TI","occurr.TI","oc.perc.TI","MaxN.TI","MaxN.av.TI"
"1","Elasmobranch","Carcharhinidae",3,4,0.0153846153846154,8,0.0307692307692308,1,1,0.00694444444444444,1,0.00694444444444444,0,0,0,0,0
"2","Elasmobranch","Dasyatidae",2,18,0.0692307692307692,21,0.0807692307692308,1,4,0.0277777777777778,4,0.0277777777777778,0,0,0,0,0
"3","Elasmobranch","Ginglymostomatidae",1,3,0.0115384615384615,4,0.0153846153846154,0,0,0,0,0,0,0,0,0,0
"4","Elasmobranch","Mobulidae",1,1,0.00384615384615385,1,0.00384615384615385,1,1,0.00694444444444444,1,0.00694444444444444,0,0,0,0,0
"5","Elasmobranch","Sphyrnidae",0,0,0,0,0,1,5,0.0347222222222222,5,0.0347222222222222,0,0,0,0,0
"6","Teleost","Acanthuridae",2,60,0.230769230769231,908,3.49230769230769,2,48,0.333333333333333,222,1.54166666666667,2,4,0.666666666666667,18,3
"7","Teleost","Apogonidae",1,1,0.00384615384615385,1,0.00384615384615385,0,0,0,0,0,0,0,0,0,0
"8","Teleost","Atherinidae",1,1,0.00384615384615385,2,0.00769230769230769,0,0,0,0,0,0,0,0,0,0
"9","Teleost","Aulostomidae",1,4,0.0153846153846154,4,0.0153846153846154,1,23,0.159722222222222,38,0.263888888888889,1,3,0.5,8,1.33333333333333
"10","Teleost","Balistidae",3,91,0.35,160,0.615384615384615,4,58,0.402777777777778,90,0.625,3,5,0.833333333333333,37,6.16666666666667
"11","Teleost","Belonidae",0,0,0,0,0,1,1,0.00694444444444444,1,0.00694444444444444,0,0,0,0,0
"12","Teleost","Blenniidae",2,9,0.0346153846153846,11,0.0423076923076923,2,12,0.0833333333333333,23,0.159722222222222,1,2,0.333333333333333,3,0.5
"13","Teleost","Bothidae",2,54,0.207692307692308,73,0.280769230769231,1,34,0.236111111111111,44,0.305555555555556,0,0,0,0,0
