"","var","X.Intercept.","habitat","island","s.depth.","s.disttoshore.","s.Season..bs....cc...k....1.","s.Season..by...island..bs....cc...k....1.","s.slope.","R.2","df","logLik","AIC","delta","weight"
"102","Richness",2.02533088235974,"+",NA,"+",NA,NA,"+","+",0.65201671959773,9,-1081.90413872787,2182.62181880206,0,0.36697880233528
"86","Richness",2.02270215432929,"+",NA,"+",NA,"+",NA,"+",0.654711955642441,11,-1080.30628294505,2182.63657463439,0.0147558323315025,0.36428122697603
"56","Richness",2.00828615442268,"+","+","+",NA,"+","+",NA,0.649872303580687,9,-1083.1666281949,2186.32916627588,3.70734747382676,0.057491111323109
"40","Richness",2.008285568065,"+","+","+",NA,NA,"+",NA,0.649872538202767,9,-1083.16649048842,2186.33081808854,3.70899928648396,0.0574436486529867
"54","Richness",2.03672877795417,"+",NA,"+",NA,"+","+",NA,0.648080196035731,9,-1084.2157848409,2186.44486017775,3.82304137569554,0.0542597879525226
"38","Richness",2.03672860012523,"+",NA,"+",NA,NA,"+",NA,0.648080204042638,9,-1084.21578016535,2186.44487946872,3.82306066665979,0.0542592645932319
"22","Richness",2.03211714067274,"+",NA,"+",NA,"+",NA,NA,0.650475970727964,10,-1082.81201281987,2186.80642412309,4.18460532103336,0.0452861581668398
"48","Abundance",3.65470554563919,"+","+","+","+",NA,"+",NA,0.505760677440394,13,-1835.54259463332,3697.14859529843,0,0.214544740579428
"46","Abundance",3.753308377221,"+",NA,"+","+",NA,"+",NA,0.501826431633029,11,-1837.17194015312,3697.87004436419,0.721449065759771,0.149574375563374
"120","Abundance",3.66782191067512,"+","+","+",NA,"+","+","+",0.495153273978422,9,-1839.90638957446,3698.39315356249,1.24455826405938,0.115150407529424
"104","Abundance",3.66782097123009,"+","+","+",NA,NA,"+","+",0.49517468291119,9,-1839.89767479283,3698.42506918641,1.2764738879805,0.113327442926987
"861","Abundance",3.75537679799469,"+",NA,"+",NA,"+",NA,"+",0.488169619590553,6,-1842.72963314,3698.76992271472,1.62132741629057,0.095378633824114
"70","Abundance",3.75530592290162,"+",NA,"+",NA,NA,NA,"+",0.488198423852455,6,-1842.71806789766,3698.77907094978,1.63047565134275,0.0949433570061104
"14","Abundance",3.77760386761337,"+",NA,"+","+",NA,NA,NA,0.493756102926478,9,-1840.47432844634,3699.30540407453,2.15680877609157,0.0729747805369232
"116","Abundance",3.6835396065945,"+","+",NA,NA,"+","+","+",0.490484860649813,8,-1841.79795459747,3700.68516173003,3.53656643159411,0.0366068390269387
"100","Abundance",3.6835392768997,"+","+",NA,NA,NA,"+","+",0.490499619328715,8,-1841.7920019727,3700.7130921243,3.56449682586663,0.0360991704003367
"44","Abundance",3.63587338213694,"+","+",NA,"+",NA,"+",NA,0.499679257777117,12,-1838.05576072747,3700.84035630374,3.69176100530512,0.0338736624908506
"401","Abundance",3.67205271828867,"+","+","+",NA,NA,"+",NA,0.48687908007012,8,-1843.24713287197,3702.77348595568,5.62489065724685,0.0128851175720414
"24","Abundance",3.70775599162651,"+","+","+",NA,"+",NA,NA,0.481536976633657,6,-1845.37553371973,3702.81776872771,5.66917342927309,0.0126029584343172
"8","Abundance",3.70804189429436,"+","+","+",NA,NA,NA,NA,0.481652186354836,6,-1845.32986367664,3702.90940985444,5.76081455600843,0.0120385141091548
"1021","Evenness",-2.51784263650153,"+",NA,"+",NA,NA,"+","+",0.398533905497993,9,582.06900672087,-1145.45794881096,0,0.287697947678578
"541","Evenness",-2.53066280593104,"+",NA,"+",NA,"+","+",NA,0.392397824439518,8,580.15062162129,-1143.69445988249,1.76348892846863,0.119124203148921
"381","Evenness",-2.5306641042551,"+",NA,"+",NA,NA,"+",NA,0.392398759357166,8,580.15091243587,-1143.69300281376,1.76494599719194,0.119037448679266
"114","Evenness",-2.53563239576204,"+",NA,NA,NA,"+","+","+",0.392450913515674,8,580.167136166785,-1143.49844475314,1.95950405781878,0.108003011184752
"98","Evenness",-2.53563060912306,"+",NA,NA,NA,NA,"+","+",0.392451427687824,8,580.167296118597,-1143.49646061828,1.96148819268046,0.107895918045514
"862","Evenness",-2.51877067027434,"+",NA,"+",NA,"+",NA,"+",0.383100972550561,6,577.280655032458,-1142.55941740226,2.898531408694,0.0675349628980036
"701","Evenness",-2.51876989390241,"+",NA,"+",NA,NA,NA,"+",0.383101412947587,6,577.280789957403,-1142.55776128397,2.90018752698234,0.0674790631017877
"34","Evenness",-2.54986078074256,"+",NA,NA,NA,NA,"+",NA,0.386126176428379,7,578.209769911612,-1141.3761103057,4.0818385052587,0.0373746207445322
"221","Evenness",-2.52680183415145,"+",NA,"+",NA,"+",NA,NA,0.37752759704865,5,575.58080130876,-1141.15893082128,4.2990179896774,0.0335287118580856
"6","Evenness",-2.52680253087568,"+",NA,"+",NA,NA,NA,NA,0.377528036324752,5,575.580934685296,-1141.15794011251,4.30000869844503,0.0335121073765739
"66","Evenness",-2.54316725985726,"+",NA,NA,NA,NA,NA,"+",0.375623509517775,5,575.003549606516,-1140.00311702692,5.45483178403742,0.0188120052839852
